"id","payment_id","sale_id","amount","created_at"
"1","1","13","2755.00","2025-12-18T08:47:07.608Z"
"2","1","14","325.00","2025-12-18T08:47:07.608Z"
"3","2","14","2485.00","2025-12-18T08:47:07.608Z"
"4","2","15","591.00","2025-12-18T08:47:07.608Z"
"5","3","15","2349.00","2025-12-18T08:47:07.608Z"
"6","3","16","596.00","2025-12-18T08:47:07.608Z"
"7","4","16","2204.00","2025-12-18T08:47:07.608Z"
"8","4","1","756.00","2025-12-18T08:47:07.608Z"
"9","5","1","2324.00","2025-12-18T08:47:07.608Z"
"10","5","17","666.00","2025-12-18T08:47:07.608Z"
"11","6","17","2134.00","2025-12-18T08:47:07.608Z"
"12","6","2","696.00","2025-12-18T08:47:07.608Z"
"13","7","2","2329.00","2025-12-18T08:47:07.608Z"
"14","7","18","646.00","2025-12-18T08:47:07.608Z"
"15","8","18","2184.00","2025-12-18T08:47:07.608Z"
"16","8","19","863.00","2025-12-18T08:47:07.608Z"
"17","9","19","2027.00","2025-12-18T08:47:07.608Z"
"18","9","3","998.00","2025-12-18T08:47:07.608Z"
"19","10","3","2022.00","2025-12-18T08:47:07.608Z"
"20","10","20","988.00","2025-12-18T08:47:07.608Z"
"21","11","20","1918.00","2025-12-18T08:47:07.608Z"
"22","11","4","952.00","2025-12-18T08:47:07.608Z"
"23","12","4","2008.00","2025-12-18T08:47:07.608Z"
"24","12","21","892.00","2025-12-18T08:47:07.608Z"
"25","13","21","2008.00","2025-12-18T08:47:07.608Z"
"26","13","5","2990.00","2025-12-18T08:47:07.608Z"
"27","13","22","571.00","2025-12-18T08:47:07.608Z"
"28","14","22","2309.00","2025-12-18T08:47:07.608Z"
"29","14","6","2830.00","2025-12-18T08:47:07.608Z"
"30","14","23","2880.00","2025-12-18T08:47:07.608Z"
"31","14","24","2890.00","2025-12-18T08:47:07.608Z"
"32","14","25","465.00","2025-12-18T08:47:07.608Z"
"33","15","25","2625.00","2025-12-18T08:47:07.608Z"
"34","15","7","265.00","2025-12-18T08:47:07.608Z"
"35","16","7","2710.00","2025-12-18T08:47:07.608Z"
"36","16","8","196.00","2025-12-18T08:47:07.608Z"
"37","17","8","2851.00","2025-12-18T08:47:07.608Z"
"38","17","9","49.00","2025-12-18T08:47:07.608Z"
"39","18","9","2976.00","2025-12-18T08:47:07.608Z"
"40","18","10","3010.00","2025-12-18T08:47:07.608Z"
"41","18","11","2664.00","2025-12-18T08:47:07.608Z"
"42","19","11","16.00","2025-12-18T08:47:07.608Z"
"43","20","11","190.00","2025-12-18T08:47:07.608Z"
"44","20","12","2900.00","2025-12-18T08:47:07.608Z"
"45","21","26","2990.00","2025-12-18T08:47:07.608Z"
"46","22","27","3111.00","2025-12-18T08:49:55.558Z"
"47","23","28","3187.00","2025-12-22T07:18:29.078Z"
"48","24","29","3230.00","2025-12-22T08:22:53.733Z"
"49","24","30","3230.00","2025-12-22T08:22:53.733Z"
"50","24","31","3220.00","2025-12-22T08:22:53.733Z"
"51","25","32","3226.00","2025-12-23T12:51:27.281Z"
"52","27","39","3160.00","2025-12-30T11:07:58.093Z"
"53","27","40","3160.00","2025-12-30T11:07:58.093Z"
"54","27","41","3160.00","2025-12-30T11:07:58.093Z"
"55","27","42","3160.00","2025-12-30T11:07:58.093Z"
"56","27","43","3160.00","2025-12-30T11:07:58.093Z"
"57","28","44","3190.00","2025-12-30T11:09:05.099Z"
"58","28","45","3280.00","2025-12-30T11:09:05.099Z"
"67","31","54","3139.00","2026-01-06T09:26:51.362Z"
"68","31","53","12556.00","2026-01-06T09:26:51.362Z"
"69","31","47","15695.00","2026-01-06T09:26:51.362Z"
"70","31","48","15695.00","2026-01-06T09:26:51.362Z"
"71","31","49","15695.00","2026-01-06T09:26:51.362Z"
"72","31","50","15695.00","2026-01-06T09:26:51.362Z"
"73","31","51","6175.00","2026-01-06T09:26:51.362Z"
"74","32","51","9675.00","2026-01-06T09:27:18.090Z"
"75","32","52","2585.00","2026-01-06T09:27:18.090Z"
"76","33","52","12915.00","2026-01-07T09:13:24.734Z"
"77","33","55","1995.00","2026-01-07T09:13:24.734Z"
"78","34","55","12915.00","2026-01-08T07:36:47.578Z"
"79","34","56","2307.50","2026-01-08T07:36:47.578Z"
"80","35","56","12917.50","2026-01-09T09:41:30.732Z"
"81","35","57","2863.50","2026-01-09T09:41:30.732Z"
"82","36","57","12916.50","2026-01-12T09:31:01.465Z"
"83","36","58","15975.00","2026-01-12T09:31:01.465Z"
"84","36","59","15975.00","2026-01-12T09:31:01.465Z"
"85","36","60","3084.00","2026-01-12T09:31:01.465Z"
"88","39","60","12899.67","2026-01-13T08:29:52.449Z"
"89","39","61","3425.33","2026-01-13T08:29:52.449Z"
"90","40","60","16.33","2026-01-14T08:34:47.147Z"
"91","40","61","12899.67","2026-01-14T08:34:47.147Z"
"92","40","62","4734.00","2026-01-14T08:34:47.147Z"
